문헌번호,확인항목,상세,관련값
KR 10-2621072 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621072 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 15개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=751
KR 10-2622815 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2622815 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 15개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=726
KR 10-2620692 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620692 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 5개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=197
KR 10-2620076 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620076 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 4개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=147
KR 10-2620344 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620344 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 7개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=158
KR 10-2621607 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621607 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 3개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=145
KR 10-2619261 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2619261 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 41개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=2114
KR 10-2621857 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2621857 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 29개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=485
KR 10-2620828 B1,F1 도면 수 미채움,도면의 설명은 반입됐으나 drawing_count 가 0 (도면 미반입),figures=1 drawing_count=0
KR 10-2620828 B1,F2 도면별 분리 필요,figures 원소 1개에 도면 18개의 설명이 뭉쳐 있음 — 도면 반입 시 도면 단위 분리 확인,description 길이=1382
