문헌번호,오류유형,상세,관련값
KR 10-2637460 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3456453 A1 / EP 03456453 A1
KR 10-2691020 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -1),claim_count=20 claims=25 삭제=4 실질=21
KR 10-2691020 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3500989 A1 / EP 03500989 A1
KR 10-2731835 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3782040 A1 / EP 03782040 A1
KR 10-2691397 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 6225284 B2 / JP 7237213 B2 / JP 06225284 B2 / JP 07237213 B2
KR 10-2638059 B1,E9 섹션파싱누락,effect_of_invention 가 비었는데 전문에 해당 표제가 있음,표제 매칭='발명의\s*효과'
KR 10-2638059 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 6959475 B2 / EP 3954667 A1 / EP 03954667 A1 / JP 06959475 B2
KR 10-2624136 B1,E14 명칭전각표기,발명의 명칭에 전각 영숫자가 있어 반각 검색어와 매칭되지 않음,끈적임이 없는 고 ＳＰＦ Ｗ／Ｏ 화장료 조성물
KR 10-2665178 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3300062 A2 / EP 03300062 A2
KR 10-2717367 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4009422 B1 / EP 04009422 B1
KR 10-2665657 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,JP 6628112 B2 / JP 6956356 B2 / EP 4333332 A3 / EP 04333332 A3
KR 10-2637608 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7083407 B2 / JP 07083407 B2
KR 10-2704819 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3777126 B1 / EP 03777126 B1
KR 10-2650978 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3234740 A1 / EP 03234740 A1
KR 10-2717667 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,JP 6453860 B2 / JP 6759316 B2 / EP 3812761 A1 / EP 03812761 A1
KR 10-2650099 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -13),claim_count=3 claims=16 삭제=0 실질=16
KR 10-2650659 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3624198 A3 / EP 03624198 A3 / JP 7572116 B2 / JP 07572116 B2
KR 10-2636588 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4152623 A1 / EP 04152623 A1
KR 10-2650066 B1,E13 패밀리중복,동일 문헌이 표기만 달라 4쌍 중복 적재,EP 3712294 A1 / EP 03712294 A1 / EP 3712295 A1 / EP 03712295 A1
KR 10-2623800 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4060782 A1 / EP 04060782 A1
KR 10-2636542 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 7074927 B2 / EP 3928892 A1 / EP 03928892 A1 / JP 07074927 B2
KR 10-2650973 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7178935 B2 / JP 07178935 B2
KR 10-2637438 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7139327 B2 / JP 07139327 B2
KR 10-2732906 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3576227 B1 / EP 03576227 B1
KR 10-2637844 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6530826 B2 / JP 06530826 B2
KR 10-2638189 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4124801 A1 / EP 04124801 A1
KR 10-2637398 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3250637 A1 / EP 03250637 A1
KR 10-2637740 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3482780 A1 / EP 03482780 A1
KR 10-2733017 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -5),claim_count=10 claims=20 삭제=5 실질=15
KR 10-2703848 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4086944 A3 / EP 04086944 A3
KR 10-2636443 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -20),claim_count=3 claims=23 삭제=0 실질=23
KR 10-2719048 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,JP 7346729 B2 / EP 4086988 A1 / EP 04086988 A1 / JP 07346729 B2
KR 10-2623680 B1,E13 패밀리중복,동일 문헌이 표기만 달라 10쌍 중복 적재,EP 3734504 A1 / EP 03734504 A1 / EP 3761226 A1 / EP 03761226 A1
KR 10-2705474 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,JP 7000387 B2 / JP 7346510 B2 / EP 4276690 A1 / EP 04276690 A1
KR 10-2732042 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6409997 B1 / JP 06409997 B1
KR 10-2717738 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4072137 A1 / EP 04072137 A1
KR 10-2637843 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7153034 B2 / JP 07153034 B2
KR 10-2638670 B1,E13 패밀리중복,동일 문헌이 표기만 달라 2쌍 중복 적재,EP 3747497 A1 / EP 03747497 A1 / JP 7035016 B2 / JP 07035016 B2
KR 10-2689985 B1,E4 청구항수불일치(삭제제외 기준),claim_count 가 '삭제' 제외 실질 청구항 수와 다름 (차이 -17),claim_count=3 claims=20 삭제=0 실질=20
KR 10-2649972 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,EP 3526240 A1 / EP 03526240 A1 / EP 3526241 A1 / EP 03526241 A1
KR 10-2731496 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3088954 A1 / EP 03088954 A1
KR 10-2691447 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7198297 B2 / JP 07198297 B2
KR 10-2732044 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 6516050 B2 / JP 06516050 B2
KR 10-2732355 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7307038 B2 / JP 07307038 B2
KR 10-2703764 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4082565 A1 / EP 04082565 A1
KR 10-2665729 B1,E13 패밀리중복,동일 문헌이 표기만 달라 3쌍 중복 적재,EP 3398266 A1 / EP 03398266 A1 / JP 7277634 B2 / EP 3937397 A1
KR 10-2625014 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7234026 B2 / JP 07234026 B2
KR 10-2651787 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 4178002 A1 / EP 04178002 A1
KR 10-2718623 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,JP 7029953 B2 / JP 07029953 B2
KR 10-2717968 B1,E13 패밀리중복,동일 문헌이 표기만 달라 4쌍 중복 적재,EP 3496278 B1 / EP 03496278 B1 / EP 3496280 A1 / EP 03496280 A1
KR 10-2638125 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3747170 B1 / EP 03747170 B1
KR 10-2650488 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3828582 A1 / EP 03828582 A1
KR 10-2690742 B1,E13 패밀리중복,동일 문헌이 표기만 달라 1쌍 중복 적재,EP 3779946 A1 / EP 03779946 A1
